Exercício 5
Simulação 0, seed = 1686869189.2477217, pi = 3.138978262575532
Simulação 1, seed = 1686869190.709721, pi = 3.1429985777931435
Simulação 2, seed = 1686869191.960722, pi = 3.144550258560645
Simulação 3, seed = 1686869193.1667233, pi = 3.137190927871275
Simulação 4, seed = 1686869194.249721, pi = 3.1454552889257954
Simulação 5, seed = 1686869195.2897196, pi = 3.1426824995010993
Simulação 6, seed = 1686869196.4237213, pi = 3.143551867819931
Simulação 7, seed = 1686869197.563722, pi = 3.144485986598201
Simulação 8, seed = 1686869198.6487215, pi = 3.1477919813147066
Simulação 9, seed = 1686869199.81272, pi = 3.144382168208724
Simulação 10, seed = 1686869200.8917224, pi = 3.1416507489695387
Simulação 11, seed = 1686869201.9607227, pi = 3.142924491239098
Simulação 12, seed = 1686869203.0567198, pi = 3.1411869288929517
Simulação 13, seed = 1686869204.1237206, pi = 3.142786205682786
Simulação 14, seed = 1686869205.178747, pi = 3.1416211393403226
Simulação 15, seed = 1686869206.2667217, pi = 3.1376437236928183
Simulação 16, seed = 1686869207.3187213, pi = 3.136944897994394
Simulação 17, seed = 1686869208.384721, pi = 3.136226711556525
Simulação 18, seed = 1686869209.459747, pi = 3.1443030730846084
Simulação 19, seed = 1686869210.5197215, pi = 3.1389585563301807
Simulação 20, seed = 1686869211.5637252, pi = 3.143250498205204
Simulação 21, seed = 1686869212.6397212, pi = 3.1419024533545308
Simulação 22, seed = 1686869213.7197223, pi = 3.1378800168817946
Simulação 23, seed = 1686869214.77672, pi = 3.140718313685523
Simulação 24, seed = 1686869215.839722, pi = 3.1410635955440873
Simulação 25, seed = 1686869216.9307218, pi = 3.1411178610243815
Simulação 26, seed = 1686869217.998722, pi = 3.143043031402143
Simulação 27, seed = 1686869219.0537355, pi = 3.1434728144612323
Simulação 28, seed = 1686869220.130722, pi = 3.1416902293433866
Simulação 29, seed = 1686869221.2087226, pi = 3.1446837548781907
Simulação 30, seed = 1686869222.2777221, pi = 3.140565427399549
Simulação 31, seed = 1686869223.3277245, pi = 3.141048796193049
Simulação 32, seed = 1686869224.4127226, pi = 3.1426627467186674
Simulação 33, seed = 1686869225.4637213, pi = 3.1398012191848133
Simulação 34, seed = 1686869226.510721, pi = 3.1377224841348905
Simulação 35, seed = 1686869227.550722, pi = 3.1405259752903416
Simulação 36, seed = 1686869228.6417215, pi = 3.1430677283949455
Simulação 37, seed = 1686869229.7337246, pi = 3.1390226025322496
Simulação 38, seed = 1686869230.7997475, pi = 3.139742070188934
Simulação 39, seed = 1686869231.881721, pi = 3.1446095888580192
Simulação 40, seed = 1686869232.9437194, pi = 3.1413990849104465
Simulação 41, seed = 1686869234.014722, pi = 3.142292428017936
Simulação 42, seed = 1686869235.092722, pi = 3.1422282483177297
Simulação 43, seed = 1686869236.1197205, pi = 3.139954031072985
Simulação 44, seed = 1686869237.1567209, pi = 3.143675396653243
Simulação 45, seed = 1686869238.178768, pi = 3.1391112862037627
Simulação 46, seed = 1686869239.2127202, pi = 3.1428652245105773
Simulação 47, seed = 1686869240.255754, pi = 3.1379637125876276
Simulação 48, seed = 1686869241.2977226, pi = 3.144500818356338
Simulação 49, seed = 1686869242.3337228, pi = 3.1363201555614797
Simulação 50, seed = 1686869243.3877301, pi = 3.1413053380201608
Simulação 51, seed = 1686869244.4147444, pi = 3.138008023886517
Simulação 52, seed = 1686869245.4747224, pi = 3.1400378374559414
Simulação 53, seed = 1686869246.50172, pi = 3.1394808554457434
Simulação 54, seed = 1686869247.5487201, pi = 3.1448864931842446
Simulação 55, seed = 1686869248.5847213, pi = 3.143606219310544
Simulação 56, seed = 1686869249.6357214, pi = 3.142262806292067
Simulação 57, seed = 1686869250.6467214, pi = 3.1410537292945664
Simulação 58, seed = 1686869251.6917279, pi = 3.1415175100332213
Simulação 59, seed = 1686869252.6977205, pi = 3.1429640036332662
Simulação 60, seed = 1686869253.736722, pi = 3.14305784955125
Simulação 61, seed = 1686869254.7507205, pi = 3.1435271632182173
Simulação 62, seed = 1686869255.7767522, pi = 3.138776285289654
Simulação 63, seed = 1686869256.7977219, pi = 3.140698585586392
Simulação 64, seed = 1686869257.810724, pi = 3.1435765728099487
