# caminhante aleatório em matriz 20x20 
# tempo  x   y   sítio 
0    7    6    127 
1    8    6    128 
2    8    5    108 
3    7    5    107 
4    7    6    127 
5    7    7    147 
6    7    8    167 
7    8    8    168 
8    8    9    188 
9    8    8    168 
10    7    8    167 
11    8    8    168 
12    9    8    169 
13    9    9    189 
14    8    9    188 
15    7    9    187 
16    6    9    186 
17    5    9    185 
18    4    9    184 
19    4    8    164 
20    4    7    144 
21    3    7    143 
22    3    8    163 
23    2    8    162 
24    3    8    163 
25    2    8    162 
26    2    7    142 
27    3    7    143 
28    3    6    123 
29    3    5    103 
30    3    6    123 
31    3    5    103 
32    2    5    102 
33    2    4    82 
34    2    3    62 
35    3    3    63 
36    3    4    83 
37    3    3    63 
38    2    3    62 
39    1    3    61 
40    0    3    60 
41    19    3    79 
42    18    3    78 
43    18    4    98 
44    18    5    118 
45    18    6    138 
46    18    7    158 
47    19    7    159 
48    19    6    139 
49    0    6    120 
50    19    6    139 
51    0    6    120 
52    19    6    139 
53    0    6    120 
54    1    6    121 
55    1    7    141 
56    0    7    140 
57    1    7    141 
58    1    6    121 
59    2    6    122 
60    3    6    123 
61    4    6    124 
62    5    6    125 
63    5    7    145 
64    6    7    146 
65    6    8    166 
66    5    8    165 
67    5    7    145 
68    6    7    146 
69    5    7    145 
70    5    8    165 
71    5    7    145 
72    5    6    125 
73    4    6    124 
74    5    6    125 
75    4    6    124 
76    3    6    123 
77    4    6    124 
78    3    6    123 
79    3    7    143 
80    4    7    144 
81    4    6    124 
82    5    6    125 
83    5    7    145 
84    4    7    144 
85    4    6    124 
86    4    5    104 
87    4    4    84 
88    3    4    83 
89    3    5    103 
90    4    5    104 
91    3    5    103 
92    2    5    102 
93    2    6    122 
94    3    6    123 
95    3    5    103 
96    3    4    83 
97    4    4    84 
98    3    4    83 
99    2    4    82 
100    1    4    81 
101    0    4    80 
102    0    3    60 
103    0    2    40 
104    19    2    59 
105    0    2    40 
106    0    3    60 
107    19    3    79 
108    0    3    60 
109    0    2    40 
110    19    2    59 
111    19    1    39 
112    0    1    20 
113    0    0    0 
114    0    1    20 
115    0    0    0 
116    0    19    380 
117    0    0    0 
118    0    19    380 
119    0    0    0 
120    0    19    380 
121    19    19    399 
122    18    19    398 
123    17    19    397 
124    18    19    398 
125    17    19    397 
126    16    19    396 
127    17    19    397 
128    16    19    396 
129    16    0    16 
130    16    19    396 
131    15    19    395 
132    15    0    15 
133    14    0    14 
134    14    19    394 
135    14    18    374 
136    13    18    373 
137    13    19    393 
138    13    18    373 
139    13    19    393 
140    14    19    394 
141    13    19    393 
142    13    0    13 
143    12    0    12 
144    13    0    13 
145    14    0    14 
146    13    0    13 
147    14    0    14 
148    14    1    34 
149    14    2    54 
150    13    2    53 
151    14    2    54 
152    14    1    34 
153    15    1    35 
154    14    1    34 
155    13    1    33 
156    13    2    53 
157    13    1    33 
158    12    1    32 
159    12    0    12 
160    12    1    32 
161    11    1    31 
162    10    1    30 
163    11    1    31 
164    12    1    32 
165    11    1    31 
166    11    2    51 
167    11    3    71 
168    11    4    91 
169    11    5    111 
170    12    5    112 
171    11    5    111 
172    11    4    91 
173    11    3    71 
174    12    3    72 
175    12    4    92 
176    11    4    91 
177    10    4    90 
178    11    4    91 
179    11    5    111 
180    10    5    110 
181    10    6    130 
182    10    5    110 
183    10    6    130 
184    9    6    129 
185    10    6    130 
186    11    6    131 
187    11    7    151 
188    12    7    152 
189    12    8    172 
190    12    9    192 
191    12    8    172 
192    13    8    173 
193    13    7    153 
194    14    7    154 
195    14    8    174 
196    14    7    154 
197    15    7    155 
198    14    7    154 
199    14    6    134 
200    14    7    154 
201    14    6    134 
202    15    6    135 
203    16    6    136 
204    16    7    156 
205    16    8    176 
206    16    7    156 
207    16    8    176 
208    16    9    196 
209    16    8    176 
210    15    8    175 
211    14    8    174 
212    15    8    175 
213    14    8    174 
214    14    9    194 
215    14    10    214 
216    14    11    234 
217    15    11    235 
218    15    12    255 
219    14    12    254 
220    15    12    255 
221    15    13    275 
222    15    12    255 
223    16    12    256 
224    17    12    257 
225    17    13    277 
226    18    13    278 
227    19    13    279 
228    18    13    278 
229    18    12    258 
230    19    12    259 
231    19    11    239 
232    19    12    259 
233    18    12    258 
234    18    11    238 
235    18    12    258 
236    17    12    257 
237    17    13    277 
238    17    12    257 
239    18    12    258 
240    18    11    238 
241    17    11    237 
242    18    11    238 
243    18    10    218 
244    17    10    217 
245    17    11    237 
246    17    12    257 
247    16    12    256 
248    16    11    236 
249    16    10    216 
250    16    9    196 
251    17    9    197 
252    17    8    177 
253    17    9    197 
254    16    9    196 
255    15    9    195 
256    15    10    215 
257    15    9    195 
258    15    8    175 
259    15    7    155 
260    15    8    175 
261    15    7    155 
262    15    6    135 
263    15    7    155 
264    16    7    156 
265    15    7    155 
266    15    8    175 
267    16    8    176 
268    15    8    175 
269    14    8    174 
270    14    7    154 
271    15    7    155 
272    15    8    175 
273    16    8    176 
274    16    9    196 
275    17    9    197 
276    16    9    196 
277    16    8    176 
278    16    7    156 
279    16    8    176 
280    15    8    175 
281    15    7    155 
282    16    7    156 
283    15    7    155 
284    15    6    135 
285    14    6    134 
286    14    5    114 
287    13    5    113 
288    13    6    133 
289    13    5    113 
290    13    4    93 
291    14    4    94 
292    13    4    93 
293    14    4    94 
294    13    4    93 
295    13    5    113 
296    12    5    112 
297    12    4    92 
298    11    4    91 
299    11    3    71 
300    10    3    70 
301    9    3    69 
302    9    4    89 
303    10    4    90 
304    10    3    70 
305    10    2    50 
306    10    3    70 
307    11    3    71 
308    11    4    91 
309    10    4    90 
310    9    4    89 
311    9    5    109 
312    8    5    108 
313    8    4    88 
314    8    5    108 
315    8    4    88 
316    7    4    87 
317    6    4    86 
318    6    5    106 
319    5    5    105 
320    6    5    106 
321    6    4    86 
322    7    4    87 
323    7    5    107 
324    8    5    108 
325    7    5    107 
326    6    5    106 
327    6    6    126 
328    6    5    106 
329    5    5    105 
330    4    5    104 
331    4    6    124 
332    3    6    123 
333    2    6    122 
334    2    7    142 
335    2    6    122 
336    1    6    121 
337    1    5    101 
338    2    5    102 
339    2    4    82 
340    3    4    83 
341    4    4    84 
342    4    3    64 
343    5    3    65 
344    5    2    45 
345    6    2    46 
346    7    2    47 
347    7    1    27 
348    6    1    26 
349    6    2    46 
350    6    3    66 
351    5    3    65 
352    5    2    45 
353    4    2    44 
354    4    3    64 
355    3    3    63 
356    2    3    62 
357    1    3    61 
358    1    2    41 
359    0    2    40 
360    1    2    41 
361    1    3    61 
362    0    3    60 
363    0    4    80 
364    1    4    81 
365    1    3    61 
366    0    3    60 
367    19    3    79 
368    19    2    59 
369    19    1    39 
370    19    2    59 
371    19    1    39 
372    18    1    38 
373    19    1    39 
374    19    0    19 
375    19    1    39 
376    0    1    20 
377    1    1    21 
378    1    0    1 
379    1    1    21 
380    2    1    22 
381    2    0    2 
382    3    0    3 
383    3    1    23 
384    2    1    22 
385    2    2    42 
386    1    2    41 
387    0    2    40 
388    0    3    60 
389    0    4    80 
390    19    4    99 
391    19    5    119 
392    19    6    139 
393    18    6    138 
394    19    6    139 
395    18    6    138 
396    17    6    137 
397    18    6    138 
398    19    6    139 
399    19    7    159 
400    19    8    179 
401    0    8    160 
402    0    9    180 
403    0    8    160 
404    0    9    180 
405    1    9    181 
406    1    10    201 
407    1    9    181 
408    2    9    182 
409    2    10    202 
410    2    9    182 
411    3    9    183 
412    4    9    184 
413    4    10    204 
414    5    10    205 
415    5    11    225 
416    5    12    245 
417    4    12    244 
418    3    12    243 
419    3    11    223 
420    3    10    203 
421    2    10    202 
422    2    11    222 
423    2    10    202 
424    2    9    182 
425    1    9    181 
426    1    10    201 
427    1    9    181 
428    2    9    182 
429    3    9    183 
430    3    10    203 
431    4    10    204 
432    3    10    203 
433    4    10    204 
434    4    9    184 
435    3    9    183 
436    4    9    184 
437    4    8    164 
438    4    7    144 
439    5    7    145 
440    5    6    125 
441    5    5    105 
442    6    5    106 
443    7    5    107 
444    8    5    108 
445    9    5    109 
446    10    5    110 
447    10    6    130 
448    10    7    150 
449    10    8    170 
450    11    8    171 
451    11    7    151 
452    11    6    131 
453    10    6    130 
454    9    6    129 
455    8    6    128 
456    9    6    129 
457    10    6    130 
458    10    7    150 
459    10    8    170 
460    10    9    190 
461    10    10    210 
462    10    9    190 
463    11    9    191 
464    10    9    190 
465    10    10    210 
466    10    11    230 
467    9    11    229 
468    8    11    228 
469    7    11    227 
470    7    10    207 
471    6    10    206 
472    6    9    186 
473    5    9    185 
474    6    9    186 
475    5    9    185 
476    5    10    205 
477    4    10    204 
478    4    9    184 
479    5    9    185 
480    4    9    184 
481    3    9    183 
482    2    9    182 
483    3    9    183 
484    3    10    203 
485    3    11    223 
486    4    11    224 
487    3    11    223 
488    2    11    222 
489    3    11    223 
490    3    12    243 
491    3    11    223 
492    4    11    224 
493    4    12    244 
494    3    12    243 
495    2    12    242 
496    2    11    222 
497    1    11    221 
498    1    10    201 
499    1    11    221 
500    0    11    220 
501    0    12    240 
502    1    12    241 
503    1    13    261 
504    1    14    281 
505    2    14    282 
506    2    13    262 
507    3    13    263 
508    2    13    262 
509    3    13    263 
510    3    12    243 
511    3    13    263 
512    2    13    262 
513    1    13    261 
514    0    13    260 
515    19    13    279 
516    18    13    278 
517    18    14    298 
518    18    15    318 
519    18    14    298 
520    17    14    297 
521    17    15    317 
522    16    15    316 
523    16    16    336 
524    16    15    316 
525    15    15    315 
526    15    16    335 
527    16    16    336 
528    16    17    356 
529    16    18    376 
530    16    19    396 
531    17    19    397 
532    16    19    396 
533    16    0    16 
534    15    0    15 
535    14    0    14 
536    13    0    13 
537    12    0    12 
538    11    0    11 
539    11    1    31 
540    11    0    11 
541    10    0    10 
542    10    1    30 
543    11    1    31 
544    11    2    51 
545    10    2    50 
546    10    1    30 
547    9    1    29 
548    9    0    9 
549    9    1    29 
550    10    1    30 
551    9    1    29 
552    9    0    9 
553    9    19    389 
554    8    19    388 
555    8    0    8 
556    9    0    9 
557    10    0    10 
558    9    0    9 
559    9    19    389 
560    9    18    369 
561    9    19    389 
562    9    18    369 
563    8    18    368 
564    8    19    388 
565    7    19    387 
566    6    19    386 
567    6    18    366 
568    6    17    346 
569    7    17    347 
570    7    16    327 
571    6    16    326 
572    6    15    306 
573    6    14    286 
574    5    14    285 
575    5    15    305 
576    4    15    304 
577    4    16    324 
578    5    16    325 
579    6    16    326 
580    6    17    346 
581    7    17    347 
582    7    18    367 
583    6    18    366 
584    5    18    365 
585    5    17    345 
586    5    16    325 
587    5    15    305 
588    6    15    306 
589    7    15    307 
590    7    16    327 
591    8    16    328 
592    8    17    348 
593    7    17    347 
594    8    17    348 
595    7    17    347 
596    7    18    367 
597    8    18    368 
598    7    18    367 
599    8    18    368 
600    8    17    348 
601    8    16    328 
602    9    16    329 
603    8    16    328 
604    8    15    308 
605    8    16    328 
606    9    16    329 
607    9    15    309 
