# self avoiding walk em matriz 20x20 
# tempo  x   y   sítio 
0    11    11    231 
1    10    11    230 
2    9    11    229 
3    8    11    228 
4    7    11    227 
5    6    11    226 
6    5    11    225 
7    5    12    245 
8    5    13    265 
9    4    13    264 
10    4    14    284 
11    3    14    283 
12    3    15    303 
13    4    15    304 
14    4    16    324 
15    5    16    325 
16    6    16    326 
17    7    16    327 
18    8    16    328 
19    9    16    329 
20    9    17    349 
21    8    17    348 
22    8    18    368 
23    7    18    367 
24    7    19    387 
25    6    19    386 
26    6    0    6 
27    6    1    26 
28    7    1    27 
29    8    1    28 
30    9    1    29 
31    10    1    30 
32    11    1    31 
33    11    2    51 
34    11    3    71 
35    10    3    70 
36    10    4    90 
37    10    5    110 
38    10    6    130 
39    9    6    129 
40    9    7    149 
41    8    7    148 
42    8    8    168 
43    7    8    167 
44    6    8    166 
45    6    9    186 
46    5    9    185 
47    4    9    184 
48    4    10    204 
49    3    10    203 
50    2    10    202 
51    2    11    222 
52    2    12    242 
53    2    13    262 
54    1    13    261 
55    1    14    281 
56    1    15    301 
57    1    16    321 
58    2    16    322 
59    3    16    323 
60    3    17    343 
61    4    17    344 
62    4    18    364 
63    3    18    363 
64    3    19    383 
65    4    19    384 
66    5    19    385 
67    5    0    5 
68    5    1    25 
69    4    1    24 
70    3    1    23 
71    2    1    22 
72    2    2    42 
73    1    2    41 
74    0    2    40 
75    0    3    60 
76    1    3    61 
77    2    3    62 
78    2    4    82 
79    2    5    102 
80    2    6    122 
81    1    6    121 
82    1    7    141 
83    2    7    142 
84    2    8    162 
85    2    9    182 
86    1    9    181 
87    1    10    201 
88    0    10    200 
89    0    11    220 
90    19    11    239 
91    18    11    238 
92    17    11    237 
93    16    11    236 
94    16    12    256 
95    16    13    276 
96    15    13    275 
97    15    14    295 
98    14    14    294 
99    14    15    314 
100    14    16    334 
101    15    16    335 
102    15    17    355 
103    15    18    375 
104    15    19    395 
105    15    0    15 
106    14    0    14 
107    14    1    34 
108    13    1    33 
109    13    2    53 
110    12    2    52 
111    12    3    72 
112    13    3    73 
113    14    3    74 
114    14    4    94 
115    14    5    114 
116    14    6    134 
117    14    7    154 
118    14    8    174 
119    13    8    173 
120    13    9    193 
121    12    9    192 
122    11    9    191 
123    11    10    211 
124    12    10    212 
125    13    10    213 
126    13    11    233 
127    12    11    232 
128    12    12    252 
129    13    12    253 
130    14    12    254 
131    14    13    274 
132    13    13    273 
133    12    13    272 
134    12    14    292 
135    12    15    312 
136    13    15    313 
137    13    16    333 
138    13    17    353 
139    14    17    354 
140    14    18    374 
141    14    19    394 
142    13    19    393 
143    12    19    392 
144    11    19    391 
145    10    19    390 
146    10    0    10 
147    9    0    9 
148    8    0    8 
149    7    0    7 
