# mcs  energy  magnetization 
0  -2.0  1.0 
50  -0.844  0.0332 
100  -0.82  -0.0152 
150  -0.806  0.0542 
200  -0.7776  0.0278 
250  -0.8012  -0.0362 
300  -0.8064  0.0578 
350  -0.8656  -0.0712 
400  -0.8032  -0.0116 
450  -0.812  -0.0276 
500  -0.8292  0.026 
550  -0.8224  0.0202 
600  -0.8436  -0.0094 
650  -0.7916  -0.0352 
700  -0.796  0.0086 
750  -0.838  -0.0364 
800  -0.802  0.0244 
850  -0.808  0.0114 
900  -0.8332  0.0008 
950  -0.8232  0.0578 
1000  -0.8332  -0.1236 
1050  -0.7936  -0.0574 
1100  -0.8044  0.0862 
1150  -0.844  0.0408 
1200  -0.852  0.0462 
1250  -0.8104  -0.0002 
1300  -0.8148  0.0264 
1350  -0.832  -0.006 
1400  -0.8364  0.0412 
1450  -0.8208  -0.0176 
1500  -0.8288  0.0154 
1550  -0.7964  -0.0302 
1600  -0.8144  0.016 
1650  -0.802  0.0198 
1700  -0.8156  0.0012 
1750  -0.7872  -0.0212 
1800  -0.804  -0.0626 
1850  -0.838  0.0516 
1900  -0.7816  -0.0024 
1950  -0.802  -0.005 
2000  -0.8068  0.0146 
2050  -0.7896  0.022 
2100  -0.844  -0.0216 
2150  -0.8216  0.0108 
2200  -0.8392  0.02 
2250  -0.8264  -0.0398 
2300  -0.8264  -0.0044 
2350  -0.8476  0.0054 
2400  -0.8044  0.0028 
2450  -0.8  0.0364 
2500  -0.798  -0.0306 
2550  -0.8244  0.0072 
2600  -0.7728  -0.0584 
2650  -0.846  -0.015 
2700  -0.8128  0.0282 
2750  -0.7976  -0.0418 
2800  -0.818  -0.0104 
2850  -0.8308  0.0104 
2900  -0.7956  0.0376 
2950  -0.8084  0.0028 
3000  -0.8132  0.046 
3050  -0.7768  0.0038 
3100  -0.8008  0.034 
3150  -0.8256  -0.019 
3200  -0.85  0.0056 
3250  -0.7772  0.0196 
3300  -0.7772  0.0312 
3350  -0.8176  -0.0136 
3400  -0.8308  0.0344 
3450  -0.8452  0.0016 
3500  -0.8396  -0.0842 
3550  -0.8336  0.0054 
3600  -0.7804  -0.0152 
3650  -0.8004  -0.042 
3700  -0.8316  0.0344 
3750  -0.7804  0.0024 
3800  -0.8228  0.007 
3850  -0.8052  0.0686 
3900  -0.828  -0.0066 
3950  -0.7984  0.0144 
4000  -0.8124  0.0296 
