# mcs  energy  magnetization 
0  -0.004  -0.013 
1  -0.5984  -0.0094 
2  -0.9192  0.0186 
3  -1.126  -0.008 
4  -1.2512  -0.0184 
5  -1.3268  -0.0754 
6  -1.4064  -0.0904 
7  -1.4368  -0.1234 
8  -1.4728  -0.144 
9  -1.4692  -0.1388 
10  -1.48  -0.1406 
11  -1.4576  -0.1446 
12  -1.5068  -0.1688 
13  -1.5128  -0.1894 
14  -1.5244  -0.2022 
15  -1.506  -0.2068 
16  -1.5276  -0.2152 
17  -1.5164  -0.1992 
18  -1.536  -0.1906 
19  -1.536  -0.1792 
20  -1.5504  -0.1802 
21  -1.5444  -0.1834 
22  -1.5488  -0.1804 
23  -1.5548  -0.1624 
24  -1.5528  -0.1664 
25  -1.562  -0.1556 
26  -1.5688  -0.1616 
27  -1.5908  -0.1448 
28  -1.5864  -0.153 
29  -1.588  -0.1562 
30  -1.5968  -0.1476 
31  -1.5732  -0.1242 
32  -1.5988  -0.1216 
33  -1.6012  -0.123 
34  -1.6116  -0.1298 
35  -1.6184  -0.133 
36  -1.6052  -0.1522 
37  -1.6184  -0.1468 
38  -1.6412  -0.1424 
39  -1.6268  -0.1502 
40  -1.6364  -0.1756 
41  -1.636  -0.1796 
42  -1.6232  -0.1616 
43  -1.6312  -0.1398 
44  -1.6172  -0.1486 
45  -1.6252  -0.139 
46  -1.5948  -0.157 
47  -1.6112  -0.1486 
48  -1.6116  -0.1524 
49  -1.6208  -0.1528 
50  -1.6084  -0.154 
51  -1.648  -0.1596 
52  -1.63  -0.1624 
53  -1.614  -0.182 
54  -1.6256  -0.1896 
55  -1.6292  -0.1974 
56  -1.626  -0.2002 
57  -1.658  -0.2052 
58  -1.6272  -0.201 
59  -1.6528  -0.203 
60  -1.6428  -0.2206 
61  -1.6448  -0.2162 
62  -1.6372  -0.2086 
63  -1.6272  -0.2144 
64  -1.6224  -0.1984 
65  -1.6368  -0.2158 
66  -1.6276  -0.2134 
67  -1.6284  -0.2088 
68  -1.634  -0.2332 
69  -1.66  -0.237 
70  -1.6672  -0.2638 
71  -1.6612  -0.267 
72  -1.6748  -0.2754 
73  -1.6692  -0.289 
74  -1.6616  -0.2876 
75  -1.622  -0.2898 
76  -1.6372  -0.311 
77  -1.6552  -0.3104 
78  -1.6544  -0.3252 
79  -1.6608  -0.3116 
80  -1.6544  -0.3194 
81  -1.6516  -0.3196 
82  -1.6588  -0.318 
83  -1.6132  -0.3048 
84  -1.6312  -0.3054 
85  -1.6344  -0.294 
86  -1.6472  -0.3104 
87  -1.6708  -0.3244 
88  -1.6916  -0.3328 
89  -1.654  -0.3098 
90  -1.6708  -0.3142 
91  -1.6692  -0.3128 
92  -1.6836  -0.3062 
93  -1.6884  -0.3172 
94  -1.6948  -0.3174 
95  -1.6804  -0.338 
96  -1.6784  -0.3216 
97  -1.6732  -0.3082 
98  -1.6844  -0.3072 
99  -1.6712  -0.3168 
100  -1.6672  -0.3308 
101  -1.666  -0.3262 
102  -1.6952  -0.3322 
103  -1.6696  -0.3156 
104  -1.6652  -0.3224 
105  -1.66  -0.314 
106  -1.6828  -0.316 
107  -1.674  -0.3266 
108  -1.6904  -0.324 
109  -1.6892  -0.328 
110  -1.6936  -0.2974 
111  -1.6568  -0.2984 
112  -1.672  -0.3006 
113  -1.6744  -0.3018 
114  -1.6876  -0.2926 
115  -1.686  -0.309 
116  -1.6932  -0.3046 
117  -1.6808  -0.3166 
118  -1.6824  -0.3134 
119  -1.6952  -0.3246 
120  -1.6676  -0.3116 
121  -1.658  -0.316 
122  -1.6536  -0.3112 
123  -1.6512  -0.3166 
124  -1.6488  -0.322 
125  -1.66  -0.3218 
126  -1.6688  -0.3132 
127  -1.6488  -0.2964 
128  -1.6548  -0.2908 
129  -1.6908  -0.3272 
130  -1.6492  -0.322 
131  -1.6568  -0.3168 
132  -1.656  -0.345 
133  -1.6672  -0.3638 
134  -1.6568  -0.3574 
135  -1.6568  -0.3824 
136  -1.6464  -0.3844 
137  -1.6828  -0.4014 
138  -1.6752  -0.4026 
139  -1.672  -0.405 
140  -1.68  -0.4052 
141  -1.704  -0.4132 
142  -1.7104  -0.4052 
143  -1.7036  -0.4056 
144  -1.6804  -0.4094 
145  -1.6896  -0.4126 
146  -1.7048  -0.4206 
147  -1.694  -0.425 
148  -1.6796  -0.4254 
149  -1.6968  -0.431 
150  -1.686  -0.4346 
151  -1.6988  -0.4278 
152  -1.6936  -0.4362 
153  -1.6872  -0.4432 
154  -1.6936  -0.4524 
155  -1.6928  -0.4606 
156  -1.6708  -0.4474 
157  -1.66  -0.4616 
158  -1.668  -0.4486 
159  -1.6844  -0.4376 
160  -1.6956  -0.4388 
161  -1.6644  -0.4392 
162  -1.6876  -0.4258 
163  -1.6616  -0.436 
164  -1.6728  -0.456 
165  -1.6784  -0.4588 
166  -1.6928  -0.4562 
167  -1.6924  -0.4544 
168  -1.682  -0.4578 
169  -1.686  -0.47 
170  -1.674  -0.4754 
171  -1.704  -0.4984 
172  -1.702  -0.4988 
173  -1.686  -0.4894 
174  -1.672  -0.4856 
175  -1.6892  -0.4776 
176  -1.678  -0.4704 
177  -1.7056  -0.4824 
178  -1.6936  -0.467 
179  -1.7184  -0.4646 
180  -1.6964  -0.451 
181  -1.682  -0.4564 
182  -1.66  -0.4458 
183  -1.6628  -0.4694 
184  -1.674  -0.4752 
185  -1.6592  -0.4936 
186  -1.6804  -0.5024 
187  -1.688  -0.4854 
188  -1.6664  -0.481 
189  -1.6872  -0.4794 
190  -1.6904  -0.4744 
191  -1.6756  -0.4824 
192  -1.6888  -0.4816 
193  -1.6908  -0.4724 
194  -1.6756  -0.4658 
195  -1.7076  -0.4606 
196  -1.692  -0.4648 
197  -1.6956  -0.4742 
198  -1.7012  -0.4604 
199  -1.6976  -0.4546 
200  -1.686  -0.4758 
201  -1.6952  -0.4842 
202  -1.6956  -0.4734 
203  -1.6984  -0.4792 
204  -1.6668  -0.4734 
205  -1.704  -0.4868 
206  -1.6732  -0.4914 
207  -1.6544  -0.4862 
208  -1.65  -0.4804 
209  -1.68  -0.4822 
210  -1.712  -0.495 
211  -1.6704  -0.4888 
212  -1.6972  -0.4704 
213  -1.6784  -0.4836 
214  -1.6656  -0.4866 
215  -1.6764  -0.5054 
216  -1.6772  -0.5004 
217  -1.7012  -0.5114 
218  -1.6852  -0.4978 
219  -1.6932  -0.4982 
220  -1.7016  -0.4894 
221  -1.6388  -0.4712 
222  -1.6512  -0.4714 
223  -1.6524  -0.4804 
224  -1.686  -0.4814 
225  -1.6836  -0.4822 
226  -1.6884  -0.4942 
227  -1.6892  -0.4938 
228  -1.702  -0.4982 
229  -1.696  -0.4888 
230  -1.694  -0.4822 
231  -1.7092  -0.4916 
232  -1.686  -0.475 
