# mcs  energy  magnetization 
0  -2.0  1.0 
1  -1.3764  0.7056 
2  -1.0912  0.5084 
3  -0.9528  0.327 
4  -0.878  0.2442 
5  -0.8496  0.2068 
6  -0.812  0.134 
7  -0.8272  0.08 
8  -0.8244  0.0946 
9  -0.8124  0.0604 
10  -0.8256  0.0324 
11  -0.8228  0.0154 
12  -0.8248  0.0196 
13  -0.8284  0.0238 
14  -0.8124  0.0344 
15  -0.8236  0.0266 
16  -0.8264  0.0538 
17  -0.8396  0.0512 
18  -0.8428  0.0318 
19  -0.842  -0.0008 
20  -0.8328  -0.007 
21  -0.8264  -0.011 
22  -0.8056  -0.0032 
23  -0.8288  0.0112 
24  -0.8628  0.0336 
25  -0.8456  0.0158 
26  -0.8672  0.0204 
27  -0.832  0.0616 
28  -0.8252  0.0206 
29  -0.8276  0.0224 
30  -0.812  0.0444 
31  -0.8256  0.0322 
32  -0.8244  0.0212 
33  -0.8276  0.0214 
34  -0.7848  0.009 
35  -0.8172  0.0266 
36  -0.8176  0.0418 
37  -0.83  0.0204 
38  -0.832  0.0068 
39  -0.8108  0.0296 
40  -0.8084  0.0354 
41  -0.812  0.0132 
42  -0.8336  -0.0058 
43  -0.8252  -0.0486 
44  -0.8196  -0.0048 
45  -0.8332  0.0008 
46  -0.8356  -0.0082 
47  -0.8316  0.0298 
48  -0.8256  0.0238 
49  -0.8192  -0.0364 
50  -0.8116  -0.0486 
51  -0.8124  -0.05 
52  -0.7964  -0.0194 
53  -0.8244  -0.0338 
54  -0.8456  0.033 
55  -0.824  0.0194 
56  -0.81  -0.006 
57  -0.8332  0.0 
58  -0.816  -0.0238 
59  -0.8304  -0.0204 
60  -0.8448  -0.0244 
61  -0.8416  0.0024 
62  -0.8416  0.049 
63  -0.83  0.0466 
64  -0.8316  0.0476 
65  -0.8076  0.0378 
66  -0.7892  0.0168 
67  -0.7928  0.0256 
68  -0.792  -0.0066 
69  -0.814  -0.009 
70  -0.78  -0.0108 
71  -0.814  0.01 
72  -0.81  0.0234 
73  -0.8148  0.0088 
74  -0.8196  -0.006 
75  -0.8188  -0.0202 
76  -0.8352  -0.0088 
77  -0.806  0.0006 
78  -0.802  0.0166 
79  -0.8092  -0.0356 
80  -0.7856  0.006 
81  -0.8172  0.006 
82  -0.8236  0.0032 
83  -0.8336  0.0128 
84  -0.8044  0.0084 
85  -0.8356  -0.0484 
86  -0.8464  -0.0188 
87  -0.806  -0.0856 
88  -0.8104  -0.0976 
89  -0.8156  -0.0534 
90  -0.8232  -0.0616 
91  -0.7908  -0.012 
92  -0.842  0.0 
93  -0.8308  0.0204 
94  -0.8444  0.014 
95  -0.8384  -0.0048 
96  -0.8108  0.0044 
97  -0.822  -0.0046 
98  -0.7992  -0.024 
99  -0.8096  -0.0162 
100  -0.814  0.0316 
101  -0.7952  -0.0248 
102  -0.7816  -0.0212 
103  -0.7732  -0.0578 
104  -0.8004  -0.049 
105  -0.7964  -0.0526 
106  -0.834  -0.0676 
107  -0.8264  -0.0806 
108  -0.8356  -0.0646 
109  -0.808  -0.0358 
110  -0.8096  -0.0598 
111  -0.8016  -0.0324 
112  -0.7848  -0.026 
113  -0.7804  -0.0292 
114  -0.7888  0.0248 
115  -0.8024  0.0422 
116  -0.7748  0.0064 
117  -0.7816  -0.0274 
118  -0.8  -0.007 
119  -0.8104  0.0142 
120  -0.856  0.0348 
121  -0.8092  0.0148 
122  -0.8356  0.0306 
123  -0.8408  0.0378 
124  -0.79  0.063 
125  -0.8176  0.0618 
126  -0.8132  0.0478 
127  -0.8196  0.029 
128  -0.8136  0.0032 
129  -0.8216  -0.0358 
130  -0.8144  -0.0554 
131  -0.8016  -0.0096 
132  -0.8108  -0.016 
133  -0.808  -0.0196 
134  -0.8224  -0.0186 
135  -0.8408  -0.0228 
136  -0.82  -0.0036 
137  -0.8332  -0.027 
138  -0.8088  -0.0194 
139  -0.8112  -0.0464 
140  -0.792  -0.0374 
141  -0.7948  -0.0098 
142  -0.8272  0.0004 
143  -0.8304  0.0314 
144  -0.8232  0.025 
145  -0.8436  0.017 
146  -0.7772  -0.0276 
147  -0.77  -0.0084 
148  -0.788  0.0534 
149  -0.7948  0.044 
150  -0.8112  0.0206 
151  -0.7964  0.0216 
152  -0.8124  0.019 
153  -0.816  0.0092 
154  -0.8244  -0.004 
155  -0.804  -0.0156 
156  -0.8176  -0.0142 
157  -0.8304  0.0166 
158  -0.804  -0.055 
159  -0.8116  -0.0666 
160  -0.7904  -0.0722 
161  -0.784  -0.0354 
162  -0.8068  -0.0028 
163  -0.806  0.0036 
164  -0.8148  0.0318 
165  -0.8276  0.0366 
166  -0.8376  0.0638 
167  -0.7868  0.063 
168  -0.8136  0.026 
169  -0.834  -0.01 
170  -0.8188  -0.025 
171  -0.834  -0.054 
172  -0.8376  -0.0654 
173  -0.8212  -0.0372 
174  -0.8344  -0.0282 
175  -0.8368  -0.0488 
176  -0.8452  -0.0404 
177  -0.824  0.0268 
178  -0.8068  0.0154 
179  -0.8188  0.0406 
180  -0.8324  -0.0366 
181  -0.8016  -0.018 
182  -0.7848  -0.0612 
183  -0.7804  -0.0586 
184  -0.8044  -0.0266 
185  -0.8296  -0.0044 
186  -0.8164  -0.0082 
187  -0.8216  0.036 
188  -0.8096  0.0454 
189  -0.8108  0.0554 
190  -0.796  0.0648 
191  -0.8328  0.028 
192  -0.8352  0.0386 
193  -0.8156  0.0468 
194  -0.822  0.0236 
195  -0.8168  0.0232 
196  -0.832  0.0324 
197  -0.8428  0.046 
198  -0.8492  0.0164 
199  -0.8484  0.0014 
200  -0.8456  0.017 
201  -0.8532  0.0108 
202  -0.8744  0.0158 
203  -0.8396  -0.0008 
204  -0.8152  -0.027 
205  -0.8456  0.0252 
206  -0.8368  0.0342 
207  -0.8496  0.0154 
208  -0.8532  0.0052 
209  -0.8452  -0.0166 
210  -0.8308  -0.0502 
211  -0.8464  -0.014 
212  -0.83  -0.017 
213  -0.8164  0.0046 
214  -0.8212  -0.0112 
215  -0.8188  0.0196 
216  -0.8332  0.0308 
217  -0.8184  0.0162 
218  -0.8004  -0.0096 
219  -0.8256  -0.0146 
220  -0.8108  -0.0076 
221  -0.8592  0.0158 
222  -0.8132  0.0076 
223  -0.808  -0.0124 
224  -0.79  0.0132 
225  -0.7644  0.0718 
226  -0.7788  0.0312 
227  -0.8004  0.0022 
228  -0.8132  0.0222 
229  -0.8432  0.062 
230  -0.83  0.0486 
231  -0.8084  0.025 
232  -0.8224  0.0282 
233  -0.8348  0.0608 
234  -0.844  -0.0082 
235  -0.8324  0.0242 
236  -0.81  0.052 
237  -0.8176  0.0294 
238  -0.8008  -0.0062 
239  -0.844  -0.0106 
240  -0.8484  -0.0292 
241  -0.8412  -0.0392 
242  -0.8412  -0.0426 
243  -0.8292  -0.016 
244  -0.8316  -0.025 
245  -0.8244  -0.0352 
246  -0.828  -0.0282 
247  -0.8208  -0.0292 
248  -0.8328  -0.03 
249  -0.8468  -0.0402 
250  -0.8508  -0.0804 
251  -0.8484  -0.0438 
252  -0.8248  -0.0332 
253  -0.8312  -0.0474 
254  -0.8524  -0.0362 
255  -0.8248  -0.0572 
256  -0.8008  -0.0406 
257  -0.8264  -0.0314 
258  -0.8432  -0.0326 
259  -0.8372  -0.039 
260  -0.8104  -0.042 
261  -0.8048  -0.0012 
262  -0.8216  -0.0152 
263  -0.8244  -0.0128 
264  -0.8688  -0.0394 
265  -0.8116  -0.0294 
266  -0.8372  -0.0204 
267  -0.8032  -0.0276 
268  -0.8384  -0.0004 
269  -0.8284  0.008 
270  -0.8136  -0.0124 
271  -0.7916  -0.0178 
272  -0.806  0.0618 
273  -0.8208  0.0418 
274  -0.806  0.0794 
275  -0.8336  0.0346 
276  -0.8416  0.0402 
277  -0.8448  0.0222 
278  -0.8576  -0.0066 
279  -0.8316  0.0178 
280  -0.8276  0.03 
281  -0.8308  0.0484 
282  -0.8424  0.0518 
283  -0.83  0.009 
284  -0.8364  0.0046 
285  -0.8272  -0.009 
286  -0.8264  -0.0228 
287  -0.8316  -0.013 
288  -0.8196  -0.019 
289  -0.7924  -0.0338 
290  -0.814  0.0142 
291  -0.7948  -0.0354 
292  -0.8248  -0.0582 
293  -0.8584  -0.0518 
294  -0.828  -0.0492 
295  -0.8432  0.002 
296  -0.8476  0.0148 
297  -0.8052  0.0132 
298  -0.8152  0.0188 
299  -0.824  -0.038 
300  -0.8024  -0.0318 
301  -0.8696  -0.0096 
302  -0.8704  0.0082 
303  -0.8696  0.0168 
304  -0.846  0.0182 
305  -0.8164  -0.0368 
306  -0.8248  -0.0324 
307  -0.8536  0.0092 
308  -0.87  0.02 
309  -0.8248  -0.0048 
310  -0.8072  -0.0074 
311  -0.8204  -0.0264 
312  -0.8336  -0.028 
313  -0.8308  -0.0438 
314  -0.8404  -0.0222 
315  -0.8348  -0.0178 
316  -0.838  -0.0544 
317  -0.8604  -0.0166 
318  -0.8548  -0.0364 
319  -0.8156  -0.0278 
320  -0.8124  -0.0208 
321  -0.8248  -0.0534 
322  -0.8068  -0.0156 
323  -0.8168  0.0036 
324  -0.8412  0.0278 
325  -0.8348  -0.024 
326  -0.8468  0.0168 
327  -0.8384  0.0156 
328  -0.8548  0.0254 
329  -0.8088  0.0016 
330  -0.8264  -0.0284 
331  -0.8576  -0.0138 
332  -0.8408  -0.0264 
333  -0.8024  0.002 
334  -0.8312  0.034 
335  -0.8056  0.0282 
336  -0.8324  0.0694 
337  -0.8204  0.041 
338  -0.8132  0.0296 
