# energy/N    magnetization    seed 
-0.4796    -0.004    1692387705.9463792 
-0.4952    0.016    1692387705.9522414 
-0.4876    -0.0072    1692387705.9579537 
-0.4964    0.0296    1692387705.9636304 
-0.476    0.0544    1692387705.969252 
-0.4568    0.0288    1692387705.9750552 
-0.5324    0.0104    1692387705.98072 
-0.4544    0.008    1692387705.986384 
-0.4596    -0.0248    1692387705.9921157 
-0.5304    -0.0032    1692387705.9977994 
-0.5296    -0.0432    1692387706.0033786 
-0.466    -0.0024    1692387706.009072 
-0.5088    0.0112    1692387706.0147195 
-0.5212    -0.0136    1692387706.0203207 
-0.534    -0.0008    1692387706.0259748 
-0.5208    0.0096    1692387706.0316725 
-0.5648    0.0624    1692387706.0371966 
-0.494    -0.012    1692387706.0429065 
-0.514    0.02    1692387706.0485008 
-0.4584    -0.0416    1692387706.0540574 
-0.4728    -0.0032    1692387706.0597615 
-0.514    0.0008    1692387706.0654237 
-0.4956    0.0088    1692387706.0709808 
-0.4716    -0.028    1692387706.0767124 
-0.5364    0.0264    1692387706.0823557 
-0.454    -0.0024    1692387706.0879161 
-0.5144    -0.0128    1692387706.0936205 
-0.4796    0.0296    1692387706.09923 
-0.4916    0.0152    1692387706.1048384 
-0.52    -0.0176    1692387706.1105542 
-0.4928    0.008    1692387706.1161833 
-0.5548    -0.0264    1692387706.121733 
-0.5396    -0.0344    1692387706.1275148 
-0.5124    0.0168    1692387706.1331267 
-0.4768    0.0016    1692387706.1386962 
-0.474    -0.0056    1692387706.1444652 
-0.476    -0.0096    1692387706.150044 
-0.5004    0.0088    1692387706.155624 
-0.5016    0.016    1692387706.1612992 
-0.516    0.0    1692387706.1669154 
-0.4912    0.0112    1692387706.172476 
-0.4764    -0.0008    1692387706.1782267 
-0.5072    0.0144    1692387706.183828 
-0.4684    -0.0008    1692387706.1893911 
-0.492    -0.0064    1692387706.1951396 
-0.4516    -0.004    1692387706.2007058 
-0.4904    0.0128    1692387706.206256 
-0.5048    0.016    1692387706.212022 
-0.5036    0.0136    1692387706.2176085 
-0.5252    0.0056    1692387706.2231743 
-0.5236    -0.0232    1692387706.228903 
-0.5012    -0.012    1692387706.2345011 
-0.5112    0.032    1692387706.2400646 
-0.484    0.0256    1692387706.2457864 
-0.494    0.0152    1692387706.2513342 
-0.4824    0.0032    1692387706.2569137 
-0.504    -0.008    1692387706.2626467 
-0.5612    -0.0168    1692387706.26823 
-0.4768    0.008    1692387706.2738075 
-0.4596    -0.0056    1692387706.2795973 
-0.4732    -0.012    1692387706.2851374 
-0.5112    0.0032    1692387706.2907147 
-0.4828    0.0152    1692387706.2964284 
-0.5164    0.0232    1692387706.3020303 
-0.474    -0.02    1692387706.3076105 
-0.4724    0.036    1692387706.313361 
-0.5188    0.0344    1692387706.3189025 
-0.4656    0.0016    1692387706.3244884 
-0.4824    -0.0192    1692387706.3302326 
-0.4596    -0.0024    1692387706.3358095 
-0.5084    -0.012    1692387706.3413894 
-0.4576    0.0336    1692387706.3471541 
-0.4788    0.0104    1692387706.3527057 
-0.4728    0.0064    1692387706.3583267 
-0.5268    -0.0104    1692387706.3639517 
-0.5036    -0.0008    1692387706.3696506 
-0.556    -0.0288    1692387706.3752732 
-0.5532    0.0088    1692387706.380964 
-0.4968    -0.0096    1692387706.3865488 
-0.4648    -0.0128    1692387706.3921912 
-0.55    -0.0456    1692387706.397852 
-0.4688    0.0048    1692387706.403448 
-0.4788    -0.012    1692387706.4091058 
-0.5024    0.0048    1692387706.4147913 
-0.5136    0.008    1692387706.4203658 
-0.51    0.0008    1692387706.4260163 
-0.4948    -0.0136    1692387706.4317029 
-0.4368    0.0048    1692387706.4372795 
-0.474    -0.0136    1692387706.4428916 
-0.5076    -0.0104    1692387706.448617 
-0.452    0.0032    1692387706.4541888 
-0.5556    0.0312    1692387706.4598224 
-0.494    0.0072    1692387706.4654834 
-0.4968    0.0032    1692387706.4710925 
-0.5036    -0.0312    1692387706.4768703 
-0.5116    -0.0408    1692387706.4825387 
-0.5844    -0.0264    1692387706.4881105 
-0.4604    -0.0168    1692387706.4938526 
-0.4876    -0.0184    1692387706.4995265 
-0.466    0.0024    1692387706.5050988 
-0.5444    -0.0312    1692387706.510772 
-0.5368    0.0032    1692387706.516478 
-0.518    -0.028    1692387706.5220134 
-0.5464    -0.0192    1692387706.527702 
-0.49    -0.012    1692387706.5333562 
-0.5188    -0.0184    1692387706.5389643 
-0.4764    0.0376    1692387706.5446088 
-0.5232    0.0176    1692387706.550441 
-0.4616    -0.016    1692387706.5561666 
-0.4788    -0.0312    1692387706.561839 
-0.554    -0.0072    1692387706.5675018 
-0.442    0.0232    1692387706.5730758 
-0.4876    -0.0104    1692387706.5788095 
-0.5072    -0.008    1692387706.58443 
-0.4896    0.0112    1692387706.5900133 
-0.506    0.0008    1692387706.5957942 
-0.54    -0.0384    1692387706.60139 
-0.516    0.0128    1692387706.6069958 
-0.4608    0.0368    1692387706.612701 
-0.5024    0.0048    1692387706.618287 
-0.4876    -0.0264    1692387706.6238387 
-0.4944    0.0112    1692387706.6295629 
-0.504    0.0208    1692387706.635132 
-0.4816    -0.0016    1692387706.6406887 
-0.4472    0.016    1692387706.6464517 
-0.4888    0.0032    1692387706.6520975 
-0.4532    0.036    1692387706.6576462 
-0.544    -0.008    1692387706.663415 
-0.4808    -0.0032    1692387706.6689973 
-0.4916    -0.02    1692387706.67456 
-0.4832    -0.024    1692387706.6803212 
-0.4928    0.0112    1692387706.6859467 
-0.5244    0.0024    1692387706.6915443 
-0.522    -0.0328    1692387706.6973128 
-0.496    -0.0464    1692387706.7028985 
-0.52    -0.0112    1692387706.708526 
-0.5156    0.0264    1692387706.7142475 
-0.474    0.004    1692387706.7198212 
-0.5284    0.0104    1692387706.7254014 
-0.4964    -0.0168    1692387706.7311742 
-0.5756    -0.0488    1692387706.7367327 
-0.5312    -0.0016    1692387706.7423108 
-0.4996    0.0104    1692387706.7480772 
-0.5332    -0.028    1692387706.753761 
-0.5368    0.0    1692387706.7593584 
-0.4752    -0.0144    1692387706.765097 
-0.5252    0.0232    1692387706.770689 
-0.508    0.0096    1692387706.776263 
-0.4984    0.0192    1692387706.7819946 
-0.4892    -0.0008    1692387706.7875764 
-0.4628    -0.0056    1692387706.7932162 
-0.4756    -0.004    1692387706.7989614 
-0.476    -0.0128    1692387706.8045528 
-0.4976    -0.0112    1692387706.8101995 
-0.4896    -0.0336    1692387706.8159132 
-0.4912    -0.0112    1692387706.82151 
-0.5108    0.0056    1692387706.8272214 
-0.4952    -0.0032    1692387706.8329031 
-0.5176    0.016    1692387706.8384702 
-0.5144    0.0064    1692387706.8441308 
-0.5184    0.0176    1692387706.8498137 
-0.508    -0.0096    1692387706.8554208 
-0.4832    -0.0272    1692387706.8610578 
-0.5296    0.0112    1692387706.8667424 
-0.4964    -0.0328    1692387706.8723404 
-0.4752    -0.008    1692387706.8780406 
-0.4672    0.0112    1692387706.8837225 
-0.4952    0.0096    1692387706.889418 
-0.5204    0.028    1692387706.8952122 
-0.4956    -0.0072    1692387706.9009187 
-0.4948    0.0328    1692387706.906495 
-0.572    -0.0288    1692387706.91219 
-0.5096    -0.0128    1692387706.9178338 
-0.486    0.0152    1692387706.9234052 
-0.5092    -0.0104    1692387706.9290729 
-0.4712    0.0128    1692387706.9347358 
-0.498    -0.0072    1692387706.9403262 
-0.4764    0.0088    1692387706.9459953 
-0.4892    -0.0088    1692387706.951638 
-0.492    0.032    1692387706.9572067 
-0.5476    -0.0216    1692387706.9629374 
-0.504    -0.0144    1692387706.9686024 
-0.4932    0.012    1692387706.9742105 
-0.4748    -0.0104    1692387706.9800093 
-0.52    -0.0208    1692387706.9856977 
-0.5    -0.016    1692387706.991323 
-0.4844    0.0024    1692387706.997064 
-0.5164    -0.0024    1692387707.00272 
-0.5004    -0.004    1692387707.0082974 
-0.5132    0.0024    1692387707.014 
-0.4924    0.0312    1692387707.0195913 
-0.4904    -0.0288    1692387707.0251787 
-0.5064    -0.016    1692387707.0309381 
-0.5048    0.0192    1692387707.0365489 
-0.5296    0.0432    1692387707.0421135 
-0.5168    -0.0272    1692387707.0478468 
-0.4816    0.008    1692387707.0534644 
-0.514    -0.0008    1692387707.0590198 
-0.4772    -0.0408    1692387707.0647712 
-0.484    -0.0064    1692387707.0703483 
-0.5004    -0.0424    1692387707.075962 
-0.5188    -0.004    1692387707.081715 
-0.5088    -0.0336    1692387707.0873494 
-0.4788    0.0136    1692387707.092922 
-0.5824    -0.0656    1692387707.0986567 
-0.4308    0.0168    1692387707.1042297 
-0.5508    -0.0216    1692387707.109796 
-0.5124    -0.0216    1692387707.1155822 
-0.4528    -0.008    1692387707.1211698 
-0.534    -0.0056    1692387707.1267395 
-0.5152    0.04    1692387707.1324883 
-0.5236    0.0024    1692387707.1380663 
-0.4776    -0.0256    1692387707.143635 
-0.5248    -0.0336    1692387707.149454 
-0.496    -0.024    1692387707.1552627 
-0.4984    0.0032    1692387707.1608899 
-0.5468    -0.0104    1692387707.166647 
-0.4796    -0.012    1692387707.1722457 
-0.5648    0.0016    1692387707.1778333 
-0.5424    0.0176    1692387707.183642 
-0.5144    0.0032    1692387707.189197 
-0.5352    -0.0032    1692387707.1948545 
-0.4944    0.0144    1692387707.200559 
-0.5004    -0.0248    1692387707.2060907 
-0.4816    0.0112    1692387707.2117248 
-0.4632    -0.0448    1692387707.217429 
-0.52    0.0016    1692387707.222972 
-0.5252    0.0216    1692387707.2285788 
-0.4972    0.0216    1692387707.2342827 
-0.5516    0.0104    1692387707.239847 
-0.4304    0.024    1692387707.2454708 
-0.5364    -0.0168    1692387707.2511473 
-0.496    0.0176    1692387707.256711 
-0.5136    -0.0016    1692387707.2623549 
-0.5072    -0.024    1692387707.2680178 
-0.4856    -0.0064    1692387707.2735653 
-0.516    -0.016    1692387707.2792482 
-0.5056    0.0272    1692387707.284951 
-0.5408    0.0048    1692387707.2905138 
-0.5232    -0.0304    1692387707.2961972 
-0.4656    0.0304    1692387707.3018672 
-0.5248    -0.04    1692387707.3074334 
-0.53    -0.0136    1692387707.313097 
-0.448    -0.0048    1692387707.318859 
-0.5136    -0.0208    1692387707.3244514 
-0.5396    0.0088    1692387707.3301175 
-0.5316    -0.0104    1692387707.3357842 
-0.4712    -0.0352    1692387707.3413312 
-0.5288    -0.0032    1692387707.3470228 
-0.482    -0.0088    1692387707.3526964 
-0.4976    0.0304    1692387707.3582742 
-0.4688    0.0144    1692387707.3639545 
-0.4652    -0.0376    1692387707.3696012 
-0.468    0.0128    1692387707.375193 
-0.5164    0.0104    1692387707.3808522 
-0.4868    -0.0008    1692387707.3864822 
-0.5608    0.0096    1692387707.3921075 
-0.4924    0.0024    1692387707.3977723 
